path,manual_transcript,keyword,source
/home/v2129375/dataset/catslu_test/data/video/audios/77087e2e2ff7a69d58d6a884beb8ab41_59ac92283327930c41000045.wav,我要看春日对对碰第四十五集,春日对对碰,video
/home/v2129375/dataset/catslu_test/data/video/audios/e55499df2b0220a6ca599c41ab22bc25_59ba3a9c3327930922000045.wav,我想看电视剧何以笙箫默,何以笙箫默,video
/home/v2129375/dataset/catslu_test/data/video/audios/c358135bc2d5aa5aec8862061f96a15e_59cf3d0a332793091d000005.wav,播放电视剧我的前半生第五集,我的前半生,video
/home/v2129375/dataset/catslu_test/data/video/audios/9025a9f52a1e15b128f7459aa63079cc_59b0fe31332793091c000017.wav,我想看超级飞侠第三季,超级飞侠,video
/home/v2129375/dataset/catslu_traindev/data/video/audios/b008fb53e523a26d5d0aa8325557a1d7_59c37b043327930c52000009.wav,我想看超级飞侠第一季第一集,超级飞侠,video
/home/v2129375/dataset/catslu_test/data/video/audios/a8d427c46061c46e7ca37b98b202a2af_59cba074627fb70cfc000454.wav,我想看后天,后天,video
/home/v2129375/dataset/catslu_test/data/video/audios/6c5f6da1d7ce94361b0d2b103061d25f_59b7b0ab3327930915000005.wav,我想看大头儿子小头爸爸,大头儿子小头爸爸,video
/home/v2129375/dataset/catslu_test/data/video/audios/1785099e84be7e7f37c041a1fa510c13_59c84b703327930c43000038.wav,播放兔小贝儿歌第十二集,兔小贝儿歌,video
/home/v2129375/dataset/catslu_test/data/video/audios/3583ea7259a6cb346c8a27de8b756383_59be4f293327930c41000028.wav,我们想看数鸭歌,数鸭歌,video
/home/v2129375/dataset/catslu_test/data/video/audios/0e56c550b796686c60936d26d6c1858b_59be455a3327930dbd00005f.wav,我要看小猪佩奇,小猪佩奇,video
/home/v2129375/dataset/catslu_test/data/video/audios/912d57d0874be4d1065d7556969ddda9_59a90fd03327930c4c000005.wav,小乐我想看汪汪队,汪汪队,video
/home/v2129375/dataset/catslu_test/data/video/audios/cfeacdfc5b14a59167a8af02ebcc7fb3_59bb849c33279302a2000024.wav,播放艾利之书,艾利之书,video
/home/v2129375/dataset/catslu_traindev/data/video/audios/102e9bc2c62dbc9b7b8885ace9bd4bb5_59cb6ca0627fb70edc001d44.wav,我想看后天,后天,video
